ID,Source,Translation,AI_Reference
"ST_BaseMissionInfo,Recovery_LandmarkAnyDifficulty::4123788384",Go to [{RoundName}] (any Difficulty) and recover [{ItemName}].,,
"ST_BaseMissionInfo,OutpostWorth::1427887818","Reach an Outpost value of {Target}.
Current: {Current}",,
"ST_BaseMissionInfo,ToDepartment::1777515569",Go to [{DepartmentName}].,,
"ST_BaseMissionInfo,Recovery_KillBossAnyDifficulty::2852338222","Go to [{RoundName}] (any Difficulty), kill the boss [{BossName}] and recover [{ItemName}].",,
"ST_BaseMissionInfo,FinishRound_AnyDifficulty::1305181274",Advance to [{RoundName}] to complete recovery.,,
"ST_BaseMissionInfo,BQ_4_4::1646990806",Go to [City Ruins] Difficulty 1 and recover the [Compact Outpost Data].,,
"ST_BaseMissionInfo,BQ_4_9::2289260730",Go to [City Ruins] Difficulty 1 to rescue the missing recon unit.,,
"ST_BaseMissionInfo,BQ_4_15::1981547175",Go to [City Ruins] Difficulty 2 and kill the Seraph on [Recovery Day].,,
"ST_BaseMissionInfo,BQ_4_13::3655876131",Go to [City Ruins] Difficulty 2 and find the [Hideout].,,
"ST_BaseMissionInfo,BQ_4_14::44601765",Go to [City Ruins] Difficulty 2 and infiltrate the [Military Base].,,
"ST_BaseMissionInfo,BQ_4_19::3347274487",Go to [City Ruins] Difficulty 3 and kill the Seraph.,,
"ST_BaseMissionInfo,BQ_4_18::2114710829",Go to [City Ruins] Difficulty 3 and recover the [Old Data Chip].,,
"ST_BaseMissionInfo,BQ_4_31::1877210746",Go to [City Ruins] Difficulty 4 and kill the Kronos Omega on [Recovery Day].,,
"ST_BaseMissionInfo,BQ_4_25::2870749930",Go to [City Ruins] Difficulty 4 to infiltrate the enemy's network.,,
"ST_BaseMissionInfo,BQ_2_8::1340249560",Go to [Border Woodland] Difficulty 1 and rescue Monica.,,
"ST_BaseMissionInfo,BQ_Test_2::1635396100",Go to [Border Woodland] Difficulty 2 and recover the [Valuable Blueprint].,,
"ST_BaseMissionInfo,BQ_2_10::302346361",Go to [Border Woodland] Difficulty 3 and elimate the Apostle.,,
"ST_BaseMissionInfo,BQ_2_12::3229712871",Go to [Snow Ruins] Difficulty 1 and recover the [Archive Data].,,
"ST_BaseMissionInfo,BQ_2_13::453944010",Go to [Snow Ruins] Difficulty 1 and recover the other [Archive Data].,,
"ST_BaseMissionInfo,BQ_3_11::1307249935",Go to [Snow Ruins] Difficulty 3 and kill the Seraph.,,
"ST_BaseMissionInfo,BQ_3_12_Recovery::202173527",Go to [Snow Ruins] Difficulty 3 and recover the [Signal Component].,,
"ST_BaseMissionInfo,BQ_1_7::537849740",Head to the [Windy Desert] and recover the [MG Turret Barrel].,,
"ST_BaseMissionInfo,DoCrafting::1548472143",Manufacture [{ItemName}].,,
"ST_BaseMissionInfo,TalentMoveUp::3810211860","In [{AgentManage}], upgrade [{Fei}]'s Talents.",,
"ST_BaseMissionInfo,PutItemInBackpack::3998469654","In [{AgentManage}], put [{ItemName}] in [{Fei}]'s backpack.",,
"ST_BaseMissionInfo,Station::3344425026","In [{BaseManage}], dispatch an operative to [{ResearchCentre}].",,
"ST_BaseMissionInfo,BQ_2_5_B_1::1776532589",Activate [A.T.C. Expansion Lvl. 1] in [Build Outpost].,,
"ST_BaseMissionInfo,PassEndless::3909402230","Evacuate after holding out for {Wave} waves in {SectionName} on Endless Mode
Current: Wave {CurWave}",,
"ST_BaseMissionInfo,WareHouseItemCount::2354598617","Have {TargetNum} {TargetName} in your Base Warehouse during your career.
Current: {CurrentNum}",,
"ST_BaseMissionInfo,FinishRound::65347700",Complete [{RoundName}] at Difficulty {Difficulty} or higher.,,
"ST_BaseMissionInfo,GameSectionEnd::2350366456",Complete [{SectionName}].,,
"ST_BaseMissionInfo,OpenApointWindow_Shop::1718514287",Open the [Shop].,,
"ST_BaseMissionInfo,OpenApointWindow_Warehouse::3413275352",Open the [Base Warehouse].,,
"ST_BaseMissionInfo,OpenApointWindow_BaseManagement::1452496554",Open the [Base Management].,,
"ST_BaseMissionInfo,OpenApointWindow_MedicalCentre::3713307401",Open the [Rehab Center],,
"ST_BaseMissionInfo,OpenApointWindow_LocalAgent::2815848780",Open the [Local Team Members].,,
"ST_BaseMissionInfo,OpenApointWindow_Dispatch::830656858",Open the [Dispatch].,,
"ST_BaseMissionInfo,OpenApointWindow_CatalystModify::788338030",Open the [XEN Modification].,,
"ST_BaseMissionInfo,OpenApointWindow_CatalystRecast::1753131295",Open the [XEN Reforge].,,
"ST_BaseMissionInfo,OpenApointWindow_TrainingArea::140473454",Open the [Drill Ground].,,
"ST_BaseMissionInfo,BQ_2_5::4140090229",Open the [Joint Operation].,,
"ST_BaseMissionInfo,OpenApointWindow_AgentManagement::1647901205",Open the [Squad Management].,,
"ST_BaseMissionInfo,OpenIntelSystem::2948742669",Open the [Risk Assessment System].,,
"ST_BaseMissionInfo,RecuitActor::2551254360",Recruit one operative to your base.,,
"ST_BaseMissionInfo,BQ_1_2_0::620810960",Press [M] to toggle Base Map.,,
"ST_BaseMissionInfo,RadioCall::2748542410",Answering the radio communication.,,
"ST_BaseMissionInfo,BQ_1_12_CheckAI::568426186",Check up on [Juliette].,,
"ST_BaseMissionInfo,StudyProgress::2266504944",Research [{ResearchItem}].,,
"ST_BaseMissionInfo,TotalWorth::761163159","Recover items worth {Target} in total in all your tours.
Current: {Current}",,
"ST_BaseMissionInfo,SelfTalking::3934413353",Murmuring,,
"ST_BaseMissionInfo,EnterMeetingRoom::3123360497",Enter the [Command Division].,,
"ST_BaseMissionInfo,Recovery_KillBoss::4264299651","Go to [{RoundName}] (Difficulty: {Difficulty}), kill the boss [{BossName}] and recover [{ItemName}].",,
"ST_BaseMissionInfo,Recovery_Landmark::3280195942",Go to [{RoundName}] (Difficulty: {Difficulty}) and recover [{ItemName}].,,
"ST_Career,Career_DESC_Owl::2074522625","Creates space for your squadmates.
Creates extra fields of fire for your squadmates.",,
"ST_Career,Career_NAME_element::374035334",Elemental Attack Squad (testing),,
"ST_Career,Career_DESC_element::3115392630",Elemental Attack Squad Description (testing),,
"ST_Career,Career_NAME_Tiger::270830519",Tiger Squad,,
"ST_Career,Career_NAME_Bear::2125880015",Hare Squad,,
"ST_Career,Career_DESC_Elephant::2270402451","A unit proficient at precision killing.
Ultimate skill allows him to unleash a devastating amount of damage at a targeted location in a short span of time.",,
"ST_Career,Career_DESC_Bear::2176827858","Adept at close-quarter combat.
Trading high risk for unrivaled area damage.",,
"ST_Career,Career_NAME_Unknown::1654905108",Unknown Specialization,,
"ST_Career,Career_NAME_elephant::3534924635",Mammoth Squad,,
"ST_Career,Career_NAME_Owl::1117504538",Owl Squad,,
"ST_Career,Career_DESC_Tiger::707389815","Has the ability to replenish ammunition.
Can neutralize enemies with overwhelming sustained firepower.",,
"ST_Career,Career_RandomDuty_Desc::3810541433",Recruit an operative with a random Specialization.,,
"ST_Career,Career_RandomDuty::3339928532",Random Recruit,,
"ST_CatalystPool,RewardPool_4::858469404",Legendary,,
"ST_CatalystPool,RewardPool_3::441766178",Epic Reforging,,
"ST_CatalystPool,RewardPool_1::2021283023",Rare Reforging,,
"ST_CatalystPool,RewardPool_2::1189746828",Superior Reforging,,
"ST_CatalystPool,RewardPool_5::1419582577",Heroic,,
"ST_Description_BuildingPart,Stone_Foundation_TR::1999093426","Triangular tile with 45-degree angles used for special designs.
""Perfect angle for hiding and aiming.""",,
"ST_Description_BuildingPart,Decoration_AngleHunter::797191570","""The upgraded Outpost 11 is now our most lethal weapon against the Seraphs."" - Levy",,
"ST_Description_BuildingPart,Cover02::311845651",An Outpost that provides a slight amount of cover and supplies.,,
"ST_Description_BuildingPart,CannonType01::1344563410",An old artillery refit hastily for modern usage.,,
"ST_Description_BuildingPart,Turret_HeavyCannon01::1082655602","A triple-barreled artillery that fires lethal armor-piercing munitions.
""Triple the barrel, triple the power.""",,
"ST_Description_BuildingPart,Turret_Wall::1257319476","Automatic underbarrel assault component that suppresses enemies below it.
""An Outpost must get ALL covered.""",,
"ST_Description_BuildingPart,PlayerWall02::2706805852","Functional wall that is specifically designed to mount gear.
""Mount whatever you have.""",,
"ST_Description_BuildingPart,PlayerWall01_Tri::447156299",Armored Panel designed specially for 45° Triangular Tiles.,,
"ST_Description_BuildingPart,Cannon_Double::2706445701","Double-barreled advanced artillery.
""Double the barrel, double the explosion.""",,
"ST_Description_BuildingPart,PlayerWall04_Tri::2154314686",A low wall designed to align with the hypotenuse of a right angle.,,
"ST_Description_BuildingPart,Turret_Heavy01::2465029398","Fires larger-caliber Kinesis rounds with a relatively slow rate of fire.
""Slow, but pro.""",,
"ST_Description_BuildingPart,PlayerSlope01::843205799","Small ramp that facilitates vertical movements.
""No, you can't put components on it!""",,
"ST_Description_BuildingPart,MBS_SupportSlinger::2563406126","Allows you to deploy 10 extra Spring Traps during combat.
""Surprise! They are never going to expect these from above.""",,
"ST_Description_BuildingPart,MBS_Fence_Wood::4230024490","Allows you to deploy 10 extra Smart Stakewalls during combat.
""Defense! This is what you get for being a keen beaver.""",,
"ST_Description_BuildingPart,MBS_Fence_Cover02::4239313515","Allows you to deploy 1 extra Miniature Outpost during combat.
""Copy! Guess which one is real.""",,
"ST_Description_BuildingPart,MBS_Fence_CannonSet::3235507284","Allows you to deploy 2 extra Artillery Formations during combat.
""Heavy firepower! Let the enemy hear the roar of your army.""",,
"ST_Description_BuildingPart,MBS_Fence_AutoTurret::2998660580","Allows you to deploy 2 extra Small Artillery Formations during combat.
""Firepower! Cover the entire battleground under your attack.""",,
"ST_Description_BuildingPart,MBS_Fence_Cover01::4237891094","Allows you to deploy 2 extra Combat Covers during combat.
""Reinforcement! Get an insurance for your defense.""",,
"ST_Description_BuildingPart,MBS_Fence_Generator::1803254974","Allows you to deploy 3 extra Combat Miners during battle.
""Supply! Never worry about your supplies.""",,
"ST_Description_BuildingPart,MBS_Fence_SCS::457840794","Allows you to deploy 3 extra Convert Formations during combat.
""Convert! Helps you deal with any changes that can possibly happen.""",,
"ST_Description_BuildingPart,MBS_SmallBattary::1053450418","Allows you to deploy 5 extra Titan Spikes during combat.
""First strike! Gain the upper hand while you prepare the strategy.""",,
"ST_Description_BuildingPart,SP_MSD::2541288201",Deploy this Support Facility for free.,,
"ST_Description_BuildingPart,PlayerWall05::4094818285","Enhanced wall with built-in circuitry.
""Sturdy and fast.""",,
"ST_Description_BuildingPart,Player_Fence::2917050284","A barrier that periodically knocks back encroaching enemies from the front.
""Kick 'em into outer space!""",,
"ST_Description_BuildingPart,PlayerWall00::4164262930","A standard wall that is sturdy and highly adaptable; has multiple slots that can be configured.
""Simple, sound and solid.""",,
"ST_Description_BuildingPart,PlayerFloor05::47665978","Flooring made of high-strength materials that greatly increase structural strength and can hold more components.
""They're harder than rocks!""",,
"ST_Description_BuildingPart,PlayerFloor01::1014684221","Floor with a built-in power slot that provides power for components.
""Itching to fight? First comes power!""",,
"ST_Description_BuildingPart,Turret_Ice::1321124522","Turret that deals Frozen damage to enemies in front and slows them.
""I'll create a winter they can never escape.""",,
"ST_Description_BuildingPart,CraftBench::2581996305","Fabricates all sorts of little gadgets.
""Whatever you want, make it yourself.""",,
"ST_Description_BuildingPart,System_BattleCore::2886343337",The core of the frontline's defense. Effective at preventing enemies from advancing.,,
"ST_Description_BuildingPart,Player_ResCago_Type2::415524483","Upgraded material storage with +650 Resource storage capacity and +10 Core Output.
""We should learn from squirrels about hoarding.""",,
"ST_Description_BuildingPart,Player_DefenderBuilder_LV2::3475824106","An upgraded Defensive Fabricator.
""Nothing but the best here.""",,
"ST_Description_BuildingPart,Turret_Heavy02::2803962762","Fires large-caliber Pyro rounds with devastating firepower.
""Set the enemies on fire!""",,
"ST_Description_BuildingPart,Foundation_Fence_Wood::983382570",Retaliation Stakewalls draw enemies to attack them and deal damage to attackers. Upgrading them increases protection area and counterattack damage.,,
"ST_Description_BuildingPart,Phoenix::1116718429","Launch a huge destructive grenade that sacrifices some initial velocity and range for a more powerful explosion.
""Like the Spear of Despair, it symbolizes the EUA soldiers' hope for rebirth from destruction.""
""The day will come where we ride on and defeat AETOS.""",,
"ST_Description_BuildingPart,Turret_Destroyer::1363461877","Fires high explosive armor-piercing munitions and follows up with 6 additional micro missiles upon hits.
""It is designed after an anti-air tank turret from the old world and installed with an improved fire control system to also thrash ground targets with missiles.""",,
"ST_Description_BuildingPart,LargeSupportPlatform::2869022398","Lets you build more suspended structures.
""Does its job well and looks cool A.F!""",,
"ST_Description_BuildingPart,Turret_Xen_Type3::833445140","A XEN Turret that allows manual targeting while in Command Mode, making it suitable for XENs with a long firing interval.",,
"ST_Description_BuildingPart,BuildPart_Chair::1679100449","Lets you sit on top of it.
""You'll need a good chair to enjoy the fireworks.""",,
"ST_Description_BuildingPart,PlayerPart_Chair::1679100449","Lets you sit on top of it.
""You'll need a good chair to enjoy the fireworks.""",,
"ST_Description_BuildingPart,Player_AutoLoader_LV3::135586181","A loader that accommodates 72 boxes of ammunition and 48 shells with increased loading range.
""Even the biggest guns needs ammo to fire.""",,
"ST_Description_BuildingPart,Stone_Foundation_Narrow::198317577",Can be built into more advanced foundations.,,
"ST_Description_BuildingPart,Player_AutoLoader_LV2::4056167068","Automatically collects ammunition in a designated area, and provides additional slots.
""Go where you belong, my dear bullets.""",,
"ST_Description_BuildingPart,Turret_Missile::1850099506","Difficult to detect when deployed and launches small high explosive rounds.
""An invisible killer.""",,
"ST_Description_BuildingPart,HealthCannon::568388777","Launches a healing grenade at the target area that heals buildings and operatives over time.
""Heals buildings and people alike.""",,
"ST_Description_BuildingPart,MineLauncher::1969756256",Launches a Boomer Mine at the target location. Must be used while in Command Mode.,,
"ST_Description_BuildingPart,NuclearSilo::2692384685","Launch a tactical nuke at the target point, devastating enemies in a large area.
""The best nuke is that which explodes in the enemy camp.""",,
"ST_Description_BuildingPart,AmmoChest_Lv2::3736004371","Fabricates ammo crates every 45s by consuming 100 Resource. Does not consume anything without sufficient resources.
""We used to have a whole factory to do this. What a wonderful world we're in!""",,
"ST_Description_BuildingPart,AmmoChest_Cannon::2596158543","Fabricates a shell every 60s by consuming 150 Resource. Does not consume anything without sufficient resources.
""Don't forget to feed this large baby!""",,
"ST_Description_BuildingPart,Player_RidiculeBuff::2975871794","A device painted with the face of the game's developer that attracts enemy aggression.
""No one can refrain from punching this face. Just look at it!""",,
"ST_Description_BuildingPart,Player_Locker::357128994",Provides some starting items or gear at the start of the mission.,,
"ST_Description_BuildingPart,Turret::2535387230","Basic model of automatic assault components with reliable firepower.
""Take a nap and leave it all to the turret.""",,
"ST_Description_BuildingPart,Turret_Xen_Type1::2484763704",A basic XEN Turret that lets you modify the round it fires with XEN.,,
"ST_Description_BuildingPart,Turret_HeavyCannon02::1866716280","A heavy cannon modified with hybrid electromagnetic launch mechanisms caplable of firing Electro armor-piercing munitions.
""Hybrid technology, despite its controversies, helps reduce the energy burden on the outpost.""",,
"ST_Description_BuildingPart,ResourceConvert::1781269820","Converts regular items into resources for the Outpost.
""Feed it waste and it'll build you an Outpost!""",,
"ST_Description_BuildingPart,EnergyConvert::2891257521","Generates Power for the Outpost with items.
""It extracts oil from iron, I hear?""",,
"ST_Description_BuildingPart,Decomposer::3843913917","Dismantles unused items into regular items of similar value.
""Just throw your waste in there, and you'll get something useful.""",,
"ST_Description_BuildingPart,System_Cover01::2808934359",A basic cover providing some manner of defense.,,
"ST_Description_BuildingPart,OldWorldTank::1144464822","The tank's chassis is out of commission, yet the turret still functions.
""A broken tank is still a tank, isn't it?""",,
"ST_Description_BuildingPart,ArmorFloor::550519811",Armor plating made from extremely durable and tough materials but without a multi-function slot.,,
"ST_Description_BuildingPart,Cannon_Type2::1728791769","Empowered artillery piece that outputs tremendous firepower.
""Pimp out your gun.""",,
"ST_Description_BuildingPart,SubDefendTarget::1749142802",Continuously increases Resource. Grants additional Resource when enemies die in the vicinity.,,
"ST_Description_BuildingPart,Turret_Flame::3882104418","Turret that deals Pyro damage to enemies in front over time.
""There's a fire dragon in my little cannon.""",,
"ST_Description_BuildingPart,Turret_Fire::3513112087",Continuously scorches enemies in a frontal area.,,
"ST_Description_BuildingPart,PlayerFloor04::116957573","Cut-out floor that offers an excellent view and abundant space for shooting.
""Watch out! They're right below us!""",,
"ST_Description_BuildingPart,System_SmallBattary::3633035655","Provides Core Output and expands X-Boost Field. Can also be set to assault mode.
""One spike, all covered.""",,
"ST_Description_BuildingPart,ArmorPlate01::3557978340",Provides protection and adds HP to all connected components.,,
"ST_Description_BuildingPart,RecoverDrone::2362403370","Transports a batch of resources back to the base in advance.
""Trust it! It'll take 'em home.""",,
"ST_Description_BuildingPart,Player_AttackBuff::1267187876","Increases the damage and the ammo cost of nearby turrets and Guardians. Stacks up to 10 times towards the same component.
""Counter-attack ready to go.""",,
"ST_Description_BuildingPart,MBS_ResourceSilo::561663932",A small storage that increases the limit for Power and Resources.,,
"ST_Description_BuildingPart,MedalCase::1488784719",Filled with various medals.,,
"ST_Description_BuildingPart,RainCollector::1315131973","Gathers and purifies rain.
""Take your Outpost out for a walk in the rain.""",,
"ST_Description_BuildingPart,Cannon_88mm::1173143045","A modified prewar artillery, but no less powerful.
""Old doesn't always mean washed.""",,
"ST_Description_BuildingPart,Player_EnergyCago_Type2::2344387254","Advanced battery pack with +80 Power capacity and +10 Core Output.
""A true expert in war would address power supply first.""",,
"ST_Description_BuildingPart,FloorLight::44790359","Lighting placed on the ground.
""Illuminates the darkness.""",,
"ST_Description_BuildingPart,Foundation_Core::1682544238","Combines signal jamming, electric wiring, and material management into an essential base package.
""It's the brain and heart of the Outpost. The Outpost is just a waste without it.""",,
"ST_Description_BuildingPart,DirectionsSign::2058971011",A sign often used to lead to a safe escape in the old world.,,
"ST_Description_BuildingPart,Cannon_MissileArray::3431496453","Shoot high-explosive rounds towards an area over a period of time.
""The idea is old, but the effect isn't.""",,
"ST_Description_BuildingPart,Foundation_Core_Level::1269317079",Core Output,,
"ST_Description_BuildingPart,SmallGenerator::2370208626","Core Output +10. Having the ability to generate power
""It'll turn a vintage car into a racing car.""",,
"ST_Description_BuildingPart,SuperGenerator::3328422988","Core Output +150.  Having the ability to generate power
""It'll turn a vintage car into a racing car.""",,
"ST_Description_BuildingPart,Foundation_Core_Level_Shield::3931193250",The X-Boost Field grants a higher level of defense as the core output increases.,,
"ST_Description_BuildingPart,Foundation_Core_Level_ZoneScale::2648606052","The higher the core output, the larger the size of containers and the range of the X-Boost Field.",,
"ST_Description_BuildingPart,Foundation_Core_Level_ConterAttack::3237686005","Core Outpost: Boosts all turret damage, expends Container space, increases radius of X-Boost Field, enhances operatives' Defense within the Field.",,
"ST_Description_BuildingPart,Player_BuffDecive01::2781487756","Heals your Operatives twice during every Tour.
""It'll protect you as long as you protect it well.""",,
"ST_Description_BuildingPart,ResourceForger::2894204399",Consumes Power to refine Proto-XEN.,,
"ST_Description_BuildingPart,Player_ResCago::3521194324","Resource storage capacity +40.
""Seems like you can put the whole world in there.""",,
"ST_Description_BuildingPart,Player_SpiderTank::3330609587","Manufactures various models of Guardians.
""Guardians are ready, sir! But they are giving me goosebumps...""",,
"ST_Description_BuildingPart,Player_AutoLoader::1339647516","Stores ammo and automatically reloads ammo for nearby assault components.
""Automatic reload? It's time to hit the road!""",,
"ST_Description_BuildingPart,PlayerSupportPad::2630727032","Frame that enhances the durability of connected components.
""Grab a coffee and toughen up!""",,
"ST_Description_BuildingPart,Stone_Colum300_Iron::931025710","Connecting component that enhances structural stability.
""Don't worry, it's got your back.""",,
"ST_Description_BuildingPart,PlayerWall03::1635827233","Window that extends field of view and shooting range.
""Watch, aim and fire, in that order.""",,
"ST_Description_BuildingPart,Iron_Foundation::1399497126",Used to place buildings outside of combat. You can't build anything without these.,,
"ST_Description_BuildingPart,TurretOverrider::3671818034","Cabin where you can manually control nearby turrets.
""This one goes left; that one goes right.""",,
"ST_Description_BuildingPart,PlayerFloor03_Tri::3410331288","Triangular floor used to defend outer areas of the Outpost.
""It's time to bring in some innovation to the battle.""",,
"ST_Description_BuildingPart,Cannon_StaveCannon::2895278624","A gigantic Anti-Seraph cannon modified from the main gun of Outpost 8. ""Size matters, strength in numbers!"" - Alex",,
"ST_Description_BuildingPart,Turret_HellFlame::516443737","A four-barrel close-range fire system modified from Guardian Cannons, which dominates the battle with 20mm bullets but means a tremendous consumption.
""When it starts to roll, death is taking its toll.""",,
"ST_Description_BuildingPart,Player_EnergyCago::1170072625","Power capacity +5.
""It only works when there's power!""",,
"ST_Description_BuildingPart,Turret_Xen_Type2::2573708075",An improved model with increased firepower and ammo capacity.,,
"ST_Description_BuildingPart,Turret_MissileMotor::2554264396","Missile launcher that can strike precise locations.
""Aim, shoot and goodbye.""",,
"ST_Description_BuildingPart,PlayerStair02::3336837639","Compact short stairs with built-in circuitry.
""Short and sweet.""",,
"ST_Description_BuildingPart,PlayerDoor01::3186806454","A durable standard door.
""Ding-dong! Friend or foe?""",,
"ST_Description_BuildingPart,PlayerStair01::1561244424","Durable, long stairs with built-in circuitry.
""Try as you might, you'll only be further away from the EUA.""",,
"ST_Description_BuildingPart,TargetShooting::1173512196",Targets used by EUA team members for marksmanship training.,,
"ST_Description_BuildingPart,TurretViper::171428705","Fires 30mm armor-piercing rounds, with superior power than usual.
""Big boom boom at high fire rate.""",,
"ST_Description_BuildingPart,Conveyor01::165626302","Automatic transportation saves manpower.
""I worked almost as good as it does back in the training camp.""",,
"ST_Description_BuildingPart,MiningMachine::3211488840",Automatically gathers nearby resources and converts them into materials.,,
"ST_Description_BuildingPart,Decoration_StudioBoard::496257880","Cosmetic component. ""Thank you for accompanying us during the game's development."" From Team Ranger",,
"ST_Description_BuildingPart,Decoration_WingOfLiberty::2600299345",Cosmetic component exclusive to the Vanguard Edition,,
"ST_Description_BuildingPart,Decoration_StudioFlag::2507928162","Cosmetic component. ""For the bravest vanguards""",,
"ST_Description_BuildingPart,Slinger_Floor::731754564","A contact-activated jump pad that launches objects vertically.
""Wanna ride a rocket to the stars?""",,
"ST_Description_BuildingPart,Slinger_Wall::2455004797","A contact-activated jump pad that launches objects horizontally.
""Wanna feel like you're flying on the ground?""",,
"ST_Description_BuildingPart,MSD_Fence01::290062625",Greatly lowers the movement speed of enemies passing through.,,
"ST_Description_BuildingPart,Turret_CIWS::1374767209","Automatic assault component with a high rate of fire and best used for close-range combat.
""Your one and only security guard.""",,
"ST_Description_BuildingPart,ArmorPlate02::1123275556",Armor plating made from even more superior refined materials. Provides even more HP to connected components.,,
"ST_Description_BuildingPart,Turret_Xen_Type4::1380955145","Further increases the attack power, and the projectiles fired have a higher initial velocity.",,
"ST_Description_BuildingPart,PlayerFloor02::2007593098","Small-sized floor used for narrow spaces, such as the corridor.
""Size doesn't always matter.""",,
"ST_Description_BuildingPart,PlayerWall04::309057060","Short wall that can be quickly deployed, not so endurable of course.
""It's just tall enough for you, I reckon.""",,
"ST_Description_BuildingPart,AmmoChest::1148365994","Fabricates ammo crates by consuming Resource.
""Feed your gun well, or you'll be feeding the bullets of your enemies.""",,
"ST_Description_BuildingPart,MechaHanger03::3746986635","Deploys an M6163 Ranger. Can only be deployed once per tour. Drains 20 Power when deployed.
""The apex of speed and power!""",,
"ST_Description_BuildingPart,MechaHanger02::2395876303","Deploys an Interceptor MK. II. Can only be deployed once per tour. Drains 10 Power when deployed.
""Faster, stronger!""",,
"ST_Description_BuildingPart,MechaHanger01::3909743074","Deploys an Interceptor MK. I. Can only be deployed once per tour. Drains 5 Power when deployed.
""The knight from the future!""",,
"ST_Description_BuildingPart,Player_BlockWave::348096855","Activates a powerful Promethean Field and deals massive damage to enemies in the vicinity. Damage quickly decays with range.
""Warning! Death incoming!""",,
"ST_Description_BuildingPart,Iron_Fence::1208080592",Blocks incoming objects but does not obstruct vision.,,
"ST_Description_BuildingPart,PlayerWall01::4215183053","Armored wall that reinforces connected Outpost components and enhances overall defense when powered.
""They'll have to get through this thick skull to harm us.""",,
"ST_Description_BuildingPart,PlayerDoorFrame::529945689","A wall with some space left for the door.
""Leave some space for the door, or you'll shut yourself in.""",,
"ST_Description_BuildingSkill,PassiveSkills_ReduceMaxSupplies::3158405111",Decreases Max Resources.,,
"ST_Description_BuildingSkill,PassiveSkills_ReduceMaxElectricity::35914447",Decreases Max Power.,,
"ST_Description_BuildingSkill,PassiveSkills_CounterAttack::3943625688",Electrocutes attackers. Damage scales based on core output.,,
"ST_Description_BuildingSkill,PassiveSkills_AddRiducle::3167839836",Enemies will prioritize targeting this Outpost Component.,,
"ST_Description_BuildingSkill,PassiveSkills_AddMaxSupplies::3347638759",Increases Max Resources.,,
"ST_Description_BuildingSkill,PassiveSkills_AddMaxElectricity::2045609183",Increases Max Power.,,
"ST_Description_BuildingSkill,PassiveSkills_AddPartHP::1348466387",Increases the Max HP of connector components.,,
"ST_Description_BuildingSkill,PassiveSkills_AddPlayerHP::1425728662",Increases the core output.,,
"ST_Description_BuildingSkill,PassiveSkills_ReduceMaxSupplies_Percent::2390153985",Reduces the current Max Resource by 1% per stack.,,
"ST_Description_BuildingSkill,PassiveSkills_ReduceMaxElectricity_Percent::1952173520",Reduces the current Max Power by 1% per stack.,,
"ST_Description_BuildingSkill,PassiveSkills_ReduceMaxCoreLevel_Percent::1126064769",Reduces the current Core Output by 1% per stack.,,
"ST_Description_Catalyst,H_MercyPower_Base::2695777485",[Elemental_mutation]; hitting a target deals additional damage at a random high value.,,
"ST_Description_Catalyst,H_AreaHeal_Resistance_Energy::2029691012",[Elemental_mutation]: Hitting a target heals all allies within range and grants 5 stacks of [EnergyResistance].,,
"ST_Description_Catalyst,H_AreaHeal_Resistance_Fire::3553666604",[Elemental_mutation]: Hitting a target heals all allies within range and grants 5 stacks of [FireResistance].,,
"ST_Description_Catalyst,H_AreaHeal_Resistance_Ice::2869355420",[Elemental_mutation]: Hitting a target heals all allies within range and grants 5 stacks of [IceResistance].,,
"ST_Description_Catalyst,H_AreaHeal_Resistance_Kinetic::2545938176",[Elemental_mutation]: Hitting a target heals all allies within range and grants 5 stacks of [KineticResistance].,,
"ST_Description_Catalyst,H_MultiExplode_Base::3654366773",[Elemental_mutation]: create many smaller explosions after hit.,,
"ST_Description_Catalyst,H_MultiExplode_CD::3654366773",[Elemental_mutation]: create many smaller explosions after hit.,,
"ST_Description_Catalyst,H_FocusBeam_Base::2110639575",[Intangible]: [Pure]: continuously fire a beam that slowly increases in power.,,
"ST_Description_Catalyst,H_ElementThrower_Base::710982907",[Intangible]: [pure]: deal damage in a frontal fan.,,
"ST_Description_Catalyst,H_LightSword_Base::2209618872",[Pure]: launches a rotating laser sword that ignores gravity.,,
"ST_Description_Catalyst,H_AirCannon_Base::751949510",[Pure]: launches a shockwave that decays with distance.,,
"ST_Description_Catalyst,H_Penetration_Base::1004070981",[Pure]: shoot an arc that pierces enemies.,,
"ST_Description_Catalyst,H_AirCannon_Far::1430689529",[Pure]: launches an even bigger shockwave that knocks back enemy targets. Effect decays with distance.,,
"ST_Description_Catalyst,H_AirCannon_Large::1430689529",[Pure]: launches an even bigger shockwave that knocks back enemy targets. Effect decays with distance.,,
"ST_Description_Catalyst,H_ActiveMatter::2402310421",[Single]: Change XEN to Explosive Damage.,,
"ST_Description_Catalyst,H_BackHit::2540451320",Increases the damage dealt to enemies from behind.,,
"ST_Description_Catalyst,H_BackHit_Lv2::85121925",Increases the damage dealt to enemies from behind. Slightly boosts the Crit Chance.,,
"ST_Description_Catalyst,H_HeavyGun::3989437162",Fires light missiles at a rather high firing rate.,,
"ST_Description_Catalyst,H_SplitRocket_Base::2150077523",A XEN that allows one bullet to split into five homing bullets.,,
"ST_Description_Catalyst,H_ClusterMissile::3975563311",Splits into 7 missiles at a distance of 5 meters away from the target.,,
